imei 1/sn,sku_name,activate_time
867555052196438,Redmi 9A Sea Blue 3GB RAM 32GB ROM,10/10/2020 11:10
862851050440414,Redmi 9A Sea Blue 2GB RAM 32GB ROM,10/10/2020 11:32
862851050447211,Redmi 9A Sea Blue 2GB RAM 32GB ROM,10/10/2020 11:32
862851050251118,Redmi 9A Sea Blue 2GB RAM 32GB ROM,10/10/2020 12:19
867250052667162,Redmi 9 Prime Space Blue 4GB RAM 64GB ROM,10/10/2020 12:57
862851050066284,Redmi 9A Sea Blue 2GB RAM 32GB ROM,10/10/2020 13:08
863685053528331,Redmi 9 Carbon Black 4GB RAM 64GB ROM,10/10/2020 15:49
867250051819160,Redmi 9 Prime Sunrise Flare 4GB RAM 64GB ROM,10/10/2020 16:05
867250051741422,Redmi 9 Prime Sunrise Flare 4GB RAM 64GB ROM,10/10/2020 16:12
867250051822321,Redmi 9 Prime Sunrise Flare 4GB RAM 64GB ROM,10/10/2020 16:15
865528050763394,Redmi Note 9 Pro Max Interstellar Black 6GB RAM 128GB ROM,10/10/2020 17:18
865528052758491,Redmi Note 9 Pro Max Aurora Blue 6GB RAM 64GB ROM,10/10/2020 19:30
863349042770419,Redmi 8A Dual Sky White 3GB RAM 64GB ROM,10/11/2020 5:29
861258044157206,Redmi Note 9 Aqua Green 4GB RAM 64GB ROM,10/11/2020 9:43
860669055849930,Redmi 8A Dual Sky White 2GB RAM 32GB ROM,10/11/2020 10:41
865447043114013,Redmi Note 9 Pro Max Aurora Blue 6GB RAM 64GB ROM,10/11/2020 12:42
860162057737444,Redmi 8A Dual Sky White 2GB RAM 32GB ROM,10/11/2020 13:51
866320041334512,Mi A3 4GB RAM 64GB ROM More Than White,10/11/2020 17:02
867555052567398,Redmi 9A Sea Blue 3GB RAM 32GB ROM,10/11/2020 17:44
862024054669137,Redmi Note 9 Aqua Green 4GB RAM 128GB ROM,10/11/2020 20:26
863685054424670,Redmi 9 Sky Blue 4GB RAM 64GB ROM,10/12/2020 12:51
862024058572410,Redmi Note 9 Aqua Green 6GB RAM 128GB ROM,10/12/2020 16:10
863685054426451,Redmi 9 Sky Blue 4GB RAM 64GB ROM,10/12/2020 16:37
867555052224255,Redmi 9A Sea Blue 3GB RAM 32GB ROM,10/12/2020 16:39
865528050605975,Redmi Note 9 Pro Max Aurora Blue 6GB RAM 128GB ROM,10/12/2020 19:02
867250052669341,Redmi 9 Prime Space Blue 4GB RAM 64GB ROM,10/12/2020 19:15
867555051422413,Redmi 9A Nature Green 3GB RAM 32GB ROM,10/12/2020 21:25
867555051348139,Redmi 9A Nature Green 3GB RAM 32GB ROM,10/13/2020 12:35
867555051816473,Redmi 9A Sea Blue 3GB RAM 32GB ROM,10/13/2020 12:58
867936046724545,Redmi 9i Midnight Black 4GB RAM 128GB ROM,10/13/2020 14:00
867936046829948,Redmi 9i Midnight Black 4GB RAM 128GB ROM,10/13/2020 14:13
867936046832488,Redmi 9i Midnight Black 4GB RAM 128GB ROM,10/13/2020 14:17
867936046716087,Redmi 9i Midnight Black 4GB RAM 128GB ROM,10/13/2020 14:25
867936046849706,Redmi 9i Midnight Black 4GB RAM 128GB ROM,10/13/2020 14:32
867936046826803,Redmi 9i Midnight Black 4GB RAM 128GB ROM,10/13/2020 14:40
867936046825144,Redmi 9i Midnight Black 4GB RAM 128GB ROM,10/13/2020 14:49
868448043460312,Redmi Note 9 Pro Max Aurora Blue 6GB RAM 128GB ROM,10/13/2020 15:25
865528050760713,Redmi Note 9 Pro Max Interstellar Black 6GB RAM 128GB ROM,10/13/2020 15:30
